Age,MP,Min,CrdY,CrdR,PKatt,Gls,Ast,PK,Pos_encoded,Comp_encoded
21.0,13,269,0.33,0.0,0.0,0.0,0.0,0.0,1,0
31.0,16,867,0.21,0.0,0.0,1.0,0.0,0.0,3,1
26.0,21,1220,0.0,0.0,0.0,0.0,0.0,0.0,9,3
20.0,12,866,0.1,0.0,0.0,0.0,0.0,0.0,0,3
24.0,20,1787,0.2,0.05,0.0,0.0,0.0,0.0,0,1
26.0,4,63,0.0,0.0,0.0,0.0,0.0,0.0,5,2
29.0,20,1490,0.24,0.0,0.12,0.0,0.0,0.0,5,0
30.0,16,524,0.17,0.0,0.0,0.0,0.0,0.0,9,4
18.0,1,16,0.0,0.0,0.0,0.0,0.0,0.0,9,3
23.0,18,1412,0.38,0.0,0.0,0.0,0.0,0.0,0,4
24.0,10,211,0.87,0.0,0.0,0.0,0.0,0.0,5,0
22.0,11,533,0.34,0.0,0.17,0.0,0.0,0.0,9,0
25.0,15,268,0.0,0.0,0.0,0.0,0.0,0.0,5,0
30.0,22,1854,0.1,0.0,0.0,0.0,0.0,0.0,0,3
23.0,9,614,0.44,0.0,0.0,0.0,0.0,0.0,0,2
34.0,18,1302,0.41,0.07,0.0,1.0,1.0,0.0,7,1
26.0,4,228,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,9,285,0.0,0.0,0.0,0.0,0.0,0.0,5,0
22.0,3,57,1.67,0.0,0.0,0.0,0.0,0.0,0,4
32.0,16,1197,0.15,0.0,0.0,0.0,0.0,0.0,9,2
28.0,11,511,0.35,0.0,0.0,0.0,0.0,0.0,2,2
31.0,19,1647,0.16,0.05,0.0,0.0,0.0,0.0,0,1
22.0,5,274,0.0,0.0,0.0,0.0,0.0,0.0,0,4
25.0,17,1059,0.0,0.0,0.0,0.0,0.0,0.0,0,0
29.0,1,7,0.0,0.0,0.0,1.0,1.0,0.0,7,3
21.0,20,1729,0.31,0.0,0.0,1.0,1.0,0.0,7,3
32.0,22,471,0.19,0.0,0.0,1.0,1.0,0.0,7,3
23.0,16,858,0.63,0.11,0.0,1.0,1.0,0.0,7,2
33.0,3,137,0.0,0.0,0.0,0.0,0.0,0.0,0,1
26.0,14,1000,0.36,0.0,0.0,0.0,0.0,0.0,0,4
28.0,14,969,0.46,0.0,0.0,0.0,0.0,0.0,0,4
